Sectors,Consumption(MU),Percentage,District
Industries,869.31,17,Erode
Agriculture and Huts,828.47,30,Erode
Domestic,594.45,30,Erode
Commercial,267.77,8,Erode
Public Lighting and Public Works,121.24,4,Erode
Sales to licenses,0.0,0,Erode
Sales to Other States,0.0,0,Erode
Miscellaneous,57.15,7,Erode
Total,2738.39,100,Erode
