Sectors,Consumption(MU),Percentage,District
Industries,638.48,16,Salem
HT Services,1252.86,25,Salem
Agriculture and Huts,200.09,4,Salem
Domestic,1172.18,33,Salem
Commercial,279.45,8,Salem
Public Lighting and Public Works,116.74,3,Salem
Sales to Licensees,0.0,0,Salem
Sales to other States,0.0,0,Salem
Miscellaneous,85.41,1,Salem
Total,3745.2,0,Salem
