Sectors,Consumption(MU),Percentage,District
Industries,117.52,7,Tirunelveli
Agriculture,153.21,9,Tirunelveli
Domestic,936.37,60,Tirunelveli
Commercial,211.46,13,Tirunelveli
Public Lighting and Public Works,127.26,8,Tirunelveli
Sales to Licences,0.0,0,Tirunelveli
Sales to other States,0.0,0,Tirunelveli
Miscellaneous,0.0,0,Tirunelveli
Total,1545.82,100,Tirunelveli
