Sectors,Consumption(MU),Percentage,District
Industries,41.96,15,The Nilgiris
Agriculture and Huts,0.01,0,The Nilgiris
Domestic,153.15,57,The Nilgiris
Commercial,53.81,20,The Nilgiris
Public lighting and Public Works,16.08,5,The Nilgiris
Sales to Licencees,0.0,0,The Nilgiris
Sales to Other States,0.0,0,The Nilgiris
Miscellaneous,3.28,1,The Nilgiris
Total,268.29,100,The Nilgiris
