Sectors,Consumption(MU),Percentage,District
Industries,55.82,5,Cuddalore
Agriculture and Huts,11.15,1,Cuddalore
Domestic,712.94,70,Cuddalore
Commercial,131.04,12,Cuddalore
Public Lighting and Public Works,90.99,8,Cuddalore
Sales to licences,2.29,0,Cuddalore
Sales to Other States,0.0,0,Cuddalore
Miscellaneous,14.0,1,Cuddalore
Total,1018.23,100,Cuddalore
