Sectors,Consumption(MU),Percentage,District
Industries,379.4,24,Salem
Agriculture and Huts,483.32,17,Salem
Domestic,674.12,38,Salem
Commercial,300.49,10,Salem
Public lighting and Public Works,58.94,1,Salem
Sales to licensees,2.32,0,Salem
Sales to other States,0.0,0,Salem
Miscellaneous,179.81,7,Salem
Total,2078.4,100,Salem
