District,Consumption(MU),Highest percentage(%) consumption,Sector
The Nilgiris,373.74,39,Domestic
Salem,2078.4,38,Domestic
Erode,3632.74,78,Industries
Kancheepuram,8495.51,38,Industries
Tirunelveli,1327.62,69,Domestic
Cuddalore,1715.38,39,Agriculture and Huts
Sivaganga,559.62,67,Domestic
Nagappattinam,665.16,35,Domestic
