Sectors,Consumption(MU),Percentage,District
Industries,108.59,6,Cuddalore
Agriculture and Huts,671.8,39,Cuddalore
Domestic,613.72,35,Cuddalore
Commercial,163.66,9,Cuddalore
Public lighting and Public Works,112.46,6,Cuddalore
Sales to licences,0.15,0,Cuddalore
Sales to other States,0.0,0,Cuddalore
Miscellaneous,45.0,2,Cuddalore
Total,1715.38,100,Cuddalore
