Sectors,Consumption(MU),Percentage,District
Industries,47.17,8,Sivaganga
Agriculture and Huts Services,1.53,0,Sivaganga
Domestic,378.52,67,Sivaganga
Commercial,77.01,13,Sivaganga
Public lighting and Public Works,42.17,7,Sivaganga
Sales to licences,0.0,0,Sivaganga
Sales to other States,0.0,0,Sivaganga
Miscellaneous,13.22,2,Sivaganga
Total,559.62,100,Sivaganga
