Sectors,Consumption(MU),Percentage,District
Industries,3183.01,79,Erode
Agriculture and Huts,0.32,0,Erode
Domestic,295.99,13,Erode
Commercial,81.95,3,Erode
Public Lighting and Public Works,59.3,2,Erode
Sales to Licenses,0.0,0,Erode
Sales to other States,0.0,0,Erode
Miscellaneous,12.17,0,Erode
Total,3632.74,100,Erode
