Sectors,Consumption(MU),Percentage,District
Industries,95.22,25,The Nilgiris
Agriculture and Huts,14.25,3,The Nilgiris
Domestic,146.0,39,The Nilgiris
Commercial,70.14,18,The Nilgiris
Public lighting and Public Works,16.9,4,The Nilgiris
Sales to Licence,0.0,0,The Nilgiris
Sales to Other States,0.0,0,The Nilgiris
Miscellaneous,31.23,8,The Nilgiris
Total,373.74,100,The Nilgiris
